Alphabetical Letter,Title,Program Type
A,Accounting,Career (C)
A,Addiction Services,Career (C)
A,Agricultural Sciences,Career (C)
A,Applied Psychology,Career (C)
A,Architectural Technology,Career (C)
A,Art,University Parallel (P)
A,Associate of Arts,University Parallel (P)
A,Associate of Individualized Study,Individualized (I)
A,Associate of Science,University Parallel (P)
A,Associate of Technical Study,Individualized (I)
A,Automation & Control Technology with Robotics,Career (C)
A,Automotive Technology,Career (C)
A,Automotive Technology (GM ASEP),Career (C)
A,Automotive Technology (Honda PACT),Career (C)
A,Automotive Technology (Mopar CAP),Career (C)
A,Aviation Maintenance Technology,Career (C)
A,Aviation Technology,Career (C)
A,Aviation Technology/Professional Pilot,Career (C)
B,Biology,University Parallel (P)
B,Biology Education,University Parallel (P)
B,Biomedical Engineering Technology,Career (C)
B,Biotechnology,Career (C)
B,Building and Industrial Technology,Individualized (I)
B,Business Administration,University Parallel (P)
B,Business Information Systems,Career (C)
B,Business Management,Career (C)
B,Business Management/Digital Marketing,Career (C)
B,Business Management/Entrepreneurship,Career (C)
B,Business Management/Supply Chain Management,Career (C)
B,Business Technology,Individualized (I)
C,Civil Engineering Technology,Career (C)
C,Communication Studies,University Parallel (P)
C,Computer Aided Manufacturing/CNC Technology,Career (C)
C,Computer Information Systems/Network Engineering,Career (C)
C,Computer Information Systems/Secure System Administration,Career (C)
C,Computer Information Systems/Software Development,Career (C)
C,Computer Information Systems/User Support,Career (C)
C,Computer Information Systems/Web Development,Career (C)
C,Computer Science,University Parallel (P)
C,Construction Management Technology,Career (C)
C,Correctional Rehabilitation,Career (C)
C,Creative Writing,University Parallel (P)
C,Criminal Justice Science/Corrections,Career (C)
C,Criminal Justice Science/Law Enforcement,Career (C)
C,Culinary Entrepreneurship,Career (C)
C,Cyber Investigation Technology,Career (C)
D,Data Analytics,Career (C)
D,Dental Hygiene,Career (C)
D,Digital Media Design,Career (C)
E,Early Childhood Education,Career (C)
E,Electrical Construction Management,Career (C)
E,Electronics Engineering Technology,Career (C)
E,Elementary Education,University Parallel (P)
E,Emergency Medical Services/Fire Science,Career (C)
E,Engineering and Engineering Technology University Transfer,University Parallel (P)
E,English,University Parallel (P)
G,Geography,University Parallel (P)
G,Geospatial Technology,Career (C)
H,Health and Allied Health Technology,Individualized (I)
H,Health Information Management,Career (C)
H,Health Sciences,Career (C)
H,Health Sciences Pre-Professional Studies,University Parallel (P)
H,Heating Ventilating Air Conditioning & Refrigeration (HVACR) Technology,Career (C)
H,History,University Parallel (P)
H,Hospitality Management & Tourism,Career (C)
H,Hospitality Management & Tourism/Bakery & Pastry Arts,Career (C)
H,Hospitality Management & Tourism/Culinary Arts,Career (C)
H,Hospitality Management & Tourism/Lodging,Career (C)
H,Hospitality Management & Tourism/Meeting & Event Planning,Career (C)
I,Industrial and Systems Engineering Technology,Career (C)
I,Information Technology,Individualized (I)
I,Interior Design,Career (C)
I,Internet of Things (IoT) Cyber Technician,Career (C)
I,Interpreter Education,Career (C)
L,Legal Studies,Career (C)
M,Manufacturing Engineering Technology,Career (C)
M,Manufacturing Technology,Career (C)
M,Math Education,University Parallel (P)
M,Mathematics,University Parallel (P)
M,Mechanical Engineering Technology,Career (C)
M,Medical Laboratory Technology,Career (C)
M,Mental Health Services,Career (C)
M,Modern Languages,University Parallel (P)
M,Music,University Parallel (P)
N,Neurodiagnostic Technology,Career (C)
N,Nursing,Career (C)
N,Nutrition and Dietetics Technician,Career (C)
O,Occupational Therapy Assistant,Career (C)
P,Physical Therapist Assistant,Career (C)
P,Political Science,University Parallel (P)
P,Psychology,University Parallel (P)
Q,Quality Engineering Technology,Career (C)
R,Radiologic Technology,Career (C)
R,Real Estate,Career (C)
R,Respiratory Care,Career (C)
S,Services Technology,Individualized (I)
S,Social Work,University Parallel (P)
S,Sociology,University Parallel (P)
S,Sport and Recreation Education,University Parallel (P)
S,Surgical Technology,Career (C)
S,Sustainability and Energy Management Technology,Career (C)
T,Theatre Performance,University Parallel (P)
T,Theatre Technology,University Parallel (P)
U,Unmanned Aerial Systems,Career (C)
V,Veterinary Technology,Career (C)
V,Visual Communications,Career (C)
